GEO_ID,geo_name,population_children,poverty_count_children,poverty_rate_children,county_fips,state_fips,county_fips_3
0500000US17001,"Adams County, Illinois",14399,2052,14.3,17001,17,1
0500000US17003,"Alexander County, Illinois",1033,275,26.6,17003,17,3
0500000US17005,"Bond County, Illinois",2887,315,10.9,17005,17,5
0500000US17007,"Boone County, Illinois",12180,1796,14.7,17007,17,7
0500000US17009,"Brown County, Illinois",1011,71,7.0,17009,17,9
0500000US17011,"Bureau County, Illinois",6646,882,13.3,17011,17,11
0500000US17013,"Calhoun County, Illinois",849,52,6.1,17013,17,13
0500000US17015,"Carroll County, Illinois",2654,590,22.2,17015,17,15
0500000US17017,"Cass County, Illinois",3113,359,11.5,17017,17,17
0500000US17019,"Champaign County, Illinois",38952,5058,13.0,17019,17,19
0500000US17021,"Christian County, Illinois",6367,691,10.9,17021,17,21
0500000US17023,"Clark County, Illinois",3346,302,9.0,17023,17,23
0500000US17025,"Clay County, Illinois",3054,522,17.1,17025,17,25
0500000US17027,"Clinton County, Illinois",7808,634,8.1,17027,17,27
0500000US17029,"Coles County, Illinois",8182,1672,20.4,17029,17,29
0500000US17031,"Cook County, Illinois",1073600,188950,17.6,17031,17,31
0500000US17033,"Crawford County, Illinois",3525,479,13.6,17033,17,33
0500000US17035,"Cumberland County, Illinois",2251,228,10.1,17035,17,35
0500000US17037,"DeKalb County, Illinois",21427,3661,17.1,17037,17,37
0500000US17039,"De Witt County, Illinois",3204,501,15.6,17039,17,39
0500000US17041,"Douglas County, Illinois",4707,443,9.4,17041,17,41
0500000US17043,"DuPage County, Illinois",204172,13957,6.8,17043,17,43
0500000US17045,"Edgar County, Illinois",3217,535,16.6,17045,17,45
0500000US17047,"Edwards County, Illinois",1316,252,19.1,17047,17,47
0500000US17049,"Effingham County, Illinois",8111,1133,14.0,17049,17,49
0500000US17051,"Fayette County, Illinois",4104,921,22.4,17051,17,51
0500000US17053,"Ford County, Illinois",2939,378,12.9,17053,17,53
0500000US17055,"Franklin County, Illinois",7950,1870,23.5,17055,17,55
0500000US17057,"Fulton County, Illinois",6392,1179,18.4,17057,17,57
