state_abbrev,state_name,state_fips,total_schools,cep_schools,total_enrollment,cep_enrollment,cep_rate_school,cep_rate_student,poverty_rate_children,child_food_insec_rate,total_lunch_served,total_cash_payments,total_commodity_costs,school_age_pop_2024,lunches_per_school_age,cash_per_school_age,commodity_per_school_age,nslp_total_dollars_per_school_age,cash_per_lunch,commodity_per_lunch,total_dollars_per_lunch
AK,Alaska,2,381,228,,,0.5984251968503937,,11.7,0.0956770944195315,8027789.0,56291164.26,2503458.4,129276,62.098061511804204,435.4339882112689,19.365221696215848,454.79920990748474,7.012038340818375,0.3118490533321192,7.323887394150494
AL,Alabama,1,1316,1133,673074.0,553390.0,0.8609422492401215,0.8221829991947394,21.0,0.1004308400028082,84473165.0,365519076.98,38216821.88,846445,99.79758283172563,431.82850271429334,45.14979931359982,476.97830202789316,4.327043706483591,0.4524137562502838,4.779457462733875
AR,Arkansas,5,812,185,332630.0,73281.0,0.2278325123152709,0.220307849562577,20.7,0.0932958166050199,51210647.0,220885174.59,14191825.79,521542,98.1908398556588,423.5232725072957,27.211280759747055,450.7345532670427,4.313266625785845,0.2771264692281665,4.5903930950140115
AZ,Arizona,4,1655,1029,897245.0,487011.0,0.6217522658610272,0.5427848580933858,15.8,0.1288566607182359,107154412.0,457680656.795,31094168.7,1191788,89.91063175665471,384.0285829316959,26.090352227073943,410.11893515876983,4.271225498349056,0.2901809465390935,4.561406444888149
CA,California,6,8733,7226,5073484.0,4200999.0,0.8274361616855606,0.8280304027764747,14.7,0.0742895062409521,535929249.0,2300267604.0925,167584323.12,6328184,84.68926456626419,363.49568914122915,26.48221403170325,389.97790317293243,4.292110588075965,0.31269859488486323,4.604809182960828
CO,Colorado,8,1620,1357,715126.0,580959.0,0.8376543209876544,0.8123869080413801,10.8,0.0727628281348294,66562163.0,283923011.1325,15284460.44,900383,73.92649905651261,315.33581945960776,16.975509799718562,332.31132925932627,4.265531622409867,0.22962685933147936,4.4951584817413455
CT,Connecticut,9,688,518,323792.0,251217.0,0.752906976744186,0.7758591935563571,12.7,0.1185191553386253,54252693.0,234168161.25,14767035.99,547324,99.12354108352639,427.8419386871396,26.98042839341962,454.8223670805593,4.316249540829245,0.2721899167291106,4.588439457558356
DC,District of Columbia,11,218,202,83233.0,77090.0,0.926605504587156,0.9261951389472926,22.7,0.0835709191786103,13565437.0,62103998.425,2496386.95,90520,149.86121299160408,686.0804068161732,27.57829153778171,713.658698353955,4.578105255658184,0.1840255459518186,4.762130801610003
DE,Delaware,10,181,159,97554.0,80610.0,0.8784530386740331,0.8263115812780614,14.7,0.0814853454578665,14547490.0,62870664.74,7203241.86,158958,91.51782231784496,395.5174620969061,45.315378024383804,440.83284012128996,4.321753425505019,0.49515358731987447,4.816907012824894
FL,Florida,12,3879,2956,2882148.0,2169720.0,0.7620520752771333,0.7528135265780939,16.2,0.1142511649241527,292426152.0,1262210464.545,99456636.58,3345310,87.41376793182097,377.3074736108164,29.730170471495914,407.0376440823122,4.316339205342346,0.3401085569802252,4.656447762322571
GA,Georgia,13,2255,1275,1647935.0,796831.0,0.565410199556541,0.4835330276983012,18.0,0.1227692356630973,330495428.0,1354928766.6025,54991975.55,1918588,172.2597180843412,706.2114255913724,28.662732983840197,734.8741585752125,4.099689895263846,0.1663925455271351,4.2660824407909805
HI,Hawaii,15,186,115,92984.0,49164.0,0.6182795698924731,0.5287361266454443,11.7,0.1156244650450965,15695693.0,76991639.0375,1286014.59,217503,72.16311039387962,353.9796648207151,5.9126292051144125,359.89229402582953,4.90527172247189,0.08193423444253146,4.987205956914422
IA,Iowa,19,1155,266,,,0.2303030303030303,,12.5,0.0268578790568457,62517478.0,264140244.7275,18507489.7,541294,115.49634394617343,487.97925845751104,34.19119683573067,522.1704552932417,4.225062385394049,0.2960370490313125,4.521099434425362
ID,Idaho,16,395,75,147804.0,25055.0,0.189873417721519,0.1695150334226408,12.0,0.0787874933826117,25188044.0,107715882.9725,6761603.25,356652,70.62358825970414,302.01956801728295,18.958545725244775,320.97811374252774,4.276468747335045,0.26844495150159337,4.5449136988366385
IL,Illinois,17,3247,2393,1302720.0,965047.0,0.7369879889128427,0.7407938774256939,14.8,0.1090570243721492,162308086.0,705730629.03,41031693.77,2037543,79.65872916547038,346.3635511152402,20.137829616356566,366.5013807315968,4.348092854905578,0.25280129155118003,4.600894146456757
IN,Indiana,18,1884,817,995981.0,401103.0,0.4336518046709129,0.402721537860662,15.6,0.0996677674145486,120140912.0,506307976.7525,44663242.28,1175194,102.23070573879717,430.8292730838483,38.00499515824622,468.83426824209454,4.214284445855546,0.3717571436447894,4.586041589500336
KS,Kansas,20,718,177,260511.0,59002.0,0.2465181058495821,0.2264856378425479,12.7,0.0995511202110739,53527582.0,226084501.6475,2758027.66,515610,103.81408816741336,438.47966805822233,5.349057737437211,443.8287257956595,4.223701000495408,0.05152535490954925,4.275226355404958
KY,Kentucky,21,1240,1157,655156.0,600027.0,0.9330645161290324,0.9158536287540676,19.9,0.1690334329418444,75084258.0,328737834.9975,29622464.78,758686,98.96618363855403,433.2989339430278,39.044433111985725,472.3433670550136,4.3782524293907255,0.3945229741765578,4.772775403567284
LA,Louisiana,22,1301,1230,654428.0,604231.0,0.9454265949269792,0.9232963748494868,25.2,0.0442527350714704,79963100.0,351994203.0725,29069851.15,791039,101.08616642163028,444.9770530561704,36.74894809231909,481.7260011484895,4.40195794150677,0.3635408225794147,4.765498764086185
MA,Massachusetts,25,1407,1375,646930.0,631248.0,0.9772565742714996,0.9757593557262764,11.5,0.0891524855453233,95423563.0,413108381.74,28626900.04,1007769,94.68793245277439,409.92368463407786,28.406212177592284,438.32989681167015,4.329207260265475,0.299998230416108,4.629205490681584
MD,Maryland,24,1252,700,767998.0,392075.0,0.5591054313099042,0.5105156523845115,11.2,0.0325052479999676,80620966.0,352510496.4475,33540040.12,1017370,79.2444892222102,346.49193159568296,32.96739644377168,379.45932803945465,4.372441982988644,0.41602131286792077,4.788463295856564
