state_po,county_fips,county_name,DEMOCRAT,REPUBLICAN,total_votes,dem_margin
IL,17001,ADAMS,8111.0,23161.0,31272.0,-0.481261192120747
IL,17003,ALEXANDER,904.0,1341.0,2245.0,-0.1946547884187082
IL,17005,BOND,2117.0,5692.0,7809.0,-0.4578050966833141
IL,17007,BOONE,10159.0,13673.0,23832.0,-0.1474488083249412
IL,17009,BROWN,467.0,1938.0,2405.0,-0.6116424116424116
IL,17011,BUREAU,5900.0,9784.0,15684.0,-0.24764090793165
IL,17013,CALHOUN,560.0,2059.0,2619.0,-0.5723558610156548
IL,17015,CARROLL,2600.0,5082.0,7682.0,-0.3230929445456912
IL,17017,CASS,1438.0,3712.0,5150.0,-0.4415533980582524
IL,17019,CHAMPAIGN,54314.0,32965.0,87279.0,0.2446063772499685
IL,17021,CHRISTIAN,4026.0,11278.0,15304.0,-0.4738630423418714
IL,17023,CLARK,1927.0,6130.0,8057.0,-0.5216581854288197
IL,17025,CLAY,1054.0,5610.0,6664.0,-0.6836734693877551
IL,17027,CLINTON,4447.0,14407.0,18854.0,-0.5282698631590114
IL,17029,COLES,7495.0,13606.0,21101.0,-0.2896071276242832
IL,17031,COOK,1447821.0,583852.0,2031673.0,0.4252500279326446
IL,17033,CRAWFORD,2048.0,6727.0,8775.0,-0.5332193732193732
IL,17035,CUMBERLAND,1059.0,4627.0,5686.0,-0.6275061554695744
IL,17037,DEKALB,23648.0,22716.0,46364.0,0.0201018031231127
IL,17039,DEWITT,2058.0,5529.0,7587.0,-0.4574930802688809
IL,17041,DOUGLAS,2198.0,6076.0,8274.0,-0.4686971235194585
IL,17043,DUPAGE,251164.0,191243.0,442407.0,0.1354431552846134
IL,17045,EDGAR,1816.0,5955.0,7771.0,-0.5326212842619997
IL,17047,EDWARDS,457.0,2794.0,3251.0,-0.7188557366964011
IL,17049,EFFINGHAM,3617.0,15124.0,18741.0,-0.6140013873325864
IL,17051,FAYETTE,1632.0,7847.0,9479.0,-0.6556598797341492
IL,17053,FORD,1643.0,4778.0,6421.0,-0.4882417068992369
IL,17055,FRANKLIN,4257.0,13200.0,17457.0,-0.5122873345935728
IL,17057,FULTON,5980.0,9827.0,15807.0,-0.2433731890934396
IL,17059,GALLATIN,561.0,1923.0,2484.0,-0.5483091787439613
IL,17061,GREENE,1220.0,4719.0,5939.0,-0.5891564236403435
IL,17063,GRUNDY,9143.0,16997.0,26140.0,-0.3004590665646519
IL,17065,HAMILTON,739.0,3385.0,4124.0,-0.6416100872938895
IL,17067,HANCOCK,2183.0,6708.0,8891.0,-0.5089416263637386
IL,17069,HARDIN,357.0,1546.0,1903.0,-0.6248029427220179
IL,17071,HENDERSON,1026.0,2369.0,3395.0,-0.395581737849779
IL,17073,HENRY,9226.0,15359.0,24585.0,-0.2494610534878991
IL,17075,IROQUOIS,2747.0,10376.0,13123.0,-0.5813457288729711
IL,17077,JACKSON,11394.0,10614.0,22008.0,0.0354416575790621
IL,17079,JASPER,912.0,4449.0,5361.0,-0.65976496922216
IL,17081,JEFFERSON,4240.0,12189.0,16429.0,-0.4838395520116866
IL,17083,JERSEY,2816.0,8684.0,11500.0,-0.5102608695652174
IL,17085,JODAVIESS,5051.0,7136.0,12187.0,-0.1710839419053089
IL,17087,JOHNSON,1241.0,4798.0,6039.0,-0.5890048021195562
IL,17089,KANE,120077.0,99260.0,219337.0,0.0949087477261018
