state_po,county_fips,county_name,DEMOCRAT,REPUBLICAN,total_votes,dem_margin
AK,2001.0,DISTRICT 01,3367.0,4861.0,8228.0,-0.18157510938259602
AK,2002.0,DISTRICT 02,4571.0,4534.0,9105.0,0.004063701263042284
AK,2003.0,DISTRICT 03,6130.0,4496.0,10626.0,0.15377376246941465
AK,2004.0,DISTRICT 04,6161.0,2691.0,8852.0,0.3920018075011297
AK,2005.0,DISTRICT 05,3328.0,4351.0,7679.0,-0.1332204714155489
AK,2006.0,DISTRICT 06,4773.0,6705.0,11478.0,-0.16832200731834815
AK,2007.0,DISTRICT 07,2513.0,6777.0,9290.0,-0.4589881593110872
AK,2008.0,DISTRICT 08,2576.0,7950.0,10526.0,-0.5105453163594907
AK,2009.0,DISTRICT 09,5849.0,5581.0,11430.0,0.023447069116360453
AK,2010.0,DISTRICT 10,4070.0,4357.0,8427.0,-0.03405719710454491
AK,2011.0,DISTRICT 11,4633.0,4864.0,9497.0,-0.024323470569653574
AK,2012.0,DISTRICT 12,4169.0,4059.0,8228.0,0.013368983957219251
AK,2013.0,DISTRICT 13,3682.0,3589.0,7271.0,0.01279053775271627
AK,2014.0,DISTRICT 14,4346.0,2768.0,7114.0,0.22181613719426482
AK,2015.0,DISTRICT 15,4364.0,4594.0,8958.0,-0.02567537396740344
AK,2016.0,DISTRICT 16,5344.0,3929.0,9273.0,0.15259355117006362
AK,2017.0,DISTRICT 17,4990.0,2407.0,7397.0,0.3491956198458835
AK,2018.0,DISTRICT 18,1928.0,2686.0,4614.0,-0.16428261811876896
AK,2019.0,DISTRICT 19,2825.0,1971.0,4796.0,0.1780650542118432
AK,2020.0,DISTRICT 20,3924.0,3041.0,6965.0,0.12677674084709262
AK,2021.0,DISTRICT 21,4711.0,3984.0,8695.0,0.0836112708453134
AK,2022.0,DISTRICT 22,2660.0,2594.0,5254.0,0.012561857632280167
AK,2023.0,DISTRICT 23,4116.0,6101.0,10217.0,-0.19428403640990505
AK,2024.0,DISTRICT 24,3234.0,6482.0,9716.0,-0.33429394812680113
AK,2025.0,DISTRICT 25,3172.0,6891.0,10063.0,-0.3695716983007056
AK,2026.0,DISTRICT 26,2013.0,7143.0,9156.0,-0.5602883355176933
